BHAGWATI ENTERPRISES				Invoice No.: BE/26-27/01		Dated :05-May-2026	
Room no. 51, markandeshwar nagar, worli, Mumbai 				Challan No :		01/26-27	
Maharashtra - 400014, India.				Challan Date : 		15/04/2026	
GSTIN : 27AMSPT0137F1ZT				Reference No & Date		Other References	
State Name : Maharashtra, code : 27							
Contact No: 9619607537				Buyer's Order No.		Dated	
Email : bhagwatienterprises143@gmail.com							
Buyer (Bill to)				Dispatch Doc No.		Delivery Noted Date	
Ambe Service Facilities Private Limited							
Shop No - 49 A, Ground Floor, Pooja Enclave CHS Ltd, 				Dispatched through		Destination : 	
Ganesh Nagar, Kandivali (West), Mumbai 400 067.						Minerva  Tower	
GSTIN :  27AAZCA5609F1ZA				Terms of Delivery			
							
Sr No 	Description of Goods 	HSN/SAC 	GST Rate	Rate	Quantity	per	Amount
1	plastic bucket 16L	3924	18%	195	2	Nos	390
2	Microfibre dry mop full set 	9603	18%	1750	6	Nos	10500
3	Sunny Phenyl 5 Ltr	3808	18%	998	2	can	1996
4	Toilet Cleaner 5Ltr	3402	18%	750	1	can	750
5	Garbage bag 29x39	3926	18%	120	20	Roll	2400
6	Soft Broom	9603	0%	140	20	Nos	2800
7	microfibre duster blue 	6307	18%	75	6	Nos	450
8	Face Mask 	9018	18%	12	20	Nos	240
9	Hand Gloves	4015	18%	60	12	Pair	720
10	Scrapper big Handle 	9603	18%	180	5	Nos	900
11	Microfiber wet  Mop full set 	9603	18%	1125	2	Nos	2250
12	feather brush	9603	18%	174	4	Nos	696
							
							
							
							
							
	Total Good's Amount (A)						24092
							
	CGST 9%				9	%	1916.28
	SGST 9%				9	%	1916.28
							
							
							
							
	Total GST Amount of Good's (B)						3832.56
AMOUNT(A+B)							27924.56
Round off (+-)							0.56
TOTAL AMOUNT							27924.00
Total Invoice Amount in words (INR) :		Twenty Seven Thousand Nine Hundred And Twenty Four Only					
Company's Bank Details: Bank Name: Union Bank Of India Acc No. : 033021010000209 Branch & IFSC Code : Kandivali West & UBIN0903302				                               For Bhagwati Enterprises                                                      Authorized Signatory           			
							
							
Udyam Reg. No : UDYAM-MH-18-0108068							
