AMBE SERVICE FACILITIES PRIVATE LIMITED,,,,,,
"Shop No - 49 A, Ground Floor, Pooja Enclave CHS Ltd, ",,,,,,
"Ganesh Nagar, Kandivali (West), Mumbai 400 067.",,,,,Invoice No :  ASF/26-27/061,
Contact No: 022 45066566 / 9619607537,,,,,Date: 10 August 2026,
Email : contact@ambeservice.com / Website : ambeservice.com,,,,,,
CIN NO. : U80200MH2023PTC412420,,,,,Billing Period: 1st to 31th JULY 2026,
GSTIN :  27AAZCA5609F1ZA,,,,,SITE : Minerva,
Name & Add of Party,,,,,Work Order Ref No. :,
Lokhandwala Minerva CHS LTD ,,,,,LMCHS/003/2026-27,
"J.R. Boricha Marg. Mahalaxmi, Mumbai- 400011.",,,,,Work Order Period : ,
GSTIN : 27AAEAL7350F1ZM,,,,,01st April 2026 to 31st March 2027,
We thank you very much for valuable interest shown in our organzaion. We would like to submit  our bill for providing our services.,,,,,,
,,,,,,
Sr No,Description of Services,"HSN 
Code",Rate,"Working
 Days",Persons,Amount (RS)
,,,,,,
1,HouseKeeping ,9985,"20,570",52,6,34504.52
2,Overtime in hours (HK),,,0,,0.00
3,HouseKeeping Supervisor,9985,"30,360",31,1,30360.00
4,Overtime in hours (HK SUP),,,0,,0.00
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,Sub Total,,,64864.52
,,,Management charges @ 5%,,,3243.23
Bank Details,,,,,,
Bank Name :  Axis bank ,,,Total ,,,68107.74
Acc no : 924020001871570,,,Add CGST @ 9%,,,6129.70
"IFSC Code: UTIB0001572   Branch: kandivali west,Link Road.",,,Add SGST @ 9%,,,6129.70
Amount Chargeble in words(INR) : ,,,,,,
,,,Total ,,,80367.14
Eighty Thousand Three Hundred And Sixty Seven ,,,Round off (+-),,,0.14
Only,,,Total Amount,,,"80,367.00"
"Terms & condition : 
Payment can only be done in cheque/DD, NEFT, RTGS ",,,"For Ambe Service Facilities Pvt Ltd  





Authorized signatory
",,,
